阿	tz_· 阝可 ·a
挷	uat_· 扌阝 ·beng
閍	alf_· 門方 ·beng
鞛	tidk2· 革立口 ·beng
嵭	viwl2· 山冖方 ·beng
奟	mvvy2· 大月月 ·beng
塴	gvvv· 土山月月 ·beng
埲	gaiu· 土㇏ ·beng
埄	gha_· 土夂丰 ·beng
傰	jvvv· 亻山月月 ·beng
伻	jeh_· 亻干丷 ·beng
比	vv_· 匕 ·bi
逼	fdqu· 一口田辶 ·bi
笔	rv_· ⺮毛 ·bi
币	trj_· 丿巾 ·bi
必	ht_· 心丿 ·bi
碧	num_· 王白石 ·bi
毕	vvns· 匕十 ·bi
彼	wrp_· 彳皮 ·bi
壁	cdng· 尸口辛土 ·bi
避	cdnu· 尸口辛辶 ·bi
闭	ant_· 门丿 ·bi
臂	cdnv· 尸口辛⺝ ·bi
鼻	oql_· 自田丌 ·bi
璧	cdni· 尸口辛王丶 ·bi
弊	fhl_· 㡀攵廾 ·bi
