阿	tz_· 阝可 ·a
䴬	ejjp2· 木人人夂弋 ·yi
䵝	pae_· 黑乚 ·yi
㐆	zs2· 㐆 ·yin
㕂	xjae2· 厂亽 ·yin
㖗	dvja· 口山亽 ·yin
㗃	ddor2· 口民日 ·yin
㙬	ejjg2· 木人人犬土 ·yin
㝖	wll_· 宀夕夕 ·yin
㝙	wnhb· 宀王 ·yin
㞤	vjr2· 山人 ·yin
㡥	ryu_· 巾爫工彐心 ·yin
㣧	wiva· 彳幺⺝乚 ·yin
㥯	yub_· 爫工彐心 ·yin
㥲	nqhh2· 十心 ·yin
㥼	hfsc2· 忄一止一ㄅ灬 ·yin
㦩	htyh· 忄阝爫工彐心 ·yin
㧈	ubg_· 扌弓 ·yin
㪦	wfdh2· 宀一由八攵 ·yin
㱃	jaye· 亽酉欠 ·yin
㴈	ktfv· 氵一山 ·yin
㴽	ktph· 氵丿米心 ·yin
㸒	ytgs2· 爫㇒士 ·yin
㸧	lig4· 牙艮 ·yin
㹜	mmq3· 犬犬 ·yin
㹞	mtj3· 犭斤 ·yin
㼉	ywpe3· 瓜冖 ·yin
㾙	abnr· 疒㐅𠂇巾 ·yin
䇙	rbg_· ⺮弓丨 ·yin
䌠	nfdi· 戊一口欠糸 ·yin
䌥	iyuh2· 糹爫工彐心 ·yin
䒡	lbgs· 艹弓丨 ·yin
䓄	lmtj2· 艹犭斤 ·yin
䕃	ltjp· 艹阝人镸 ·yin
䕾	lddh· 艹口口厂乛耳攵 ·yin
䖐	tzh4· 斤虎 ·yin
䖜	zzor· 虎虎日 ·yin
䗞	fmcc2· 一大虫虫 ·yin
䚿	seq_· 言欠 ·yin
䜣	stj_· 讠斤 ·yin
䠴	zil5· 身立 ·yin
䡛	yyc2· 車車 ·yin
䡨	guy_· ⺶工車 ·yin
䤃	yxy2· 酉音 ·yin
䤺	zmt_· 金石斤 ·yin
䨙	tktg· ⻗氵㇒士 ·yin
䨸	ttyh· ⻗阝爫工彐心 ·yin
䪩	xjae3· 音亽 ·yin
䲟	wbf_· 鱼一卩 ·yin
䴛	yrpv· ⺊囗⺌⺝ ·yin
䴦	xsy2· 鹿言 ·yin
㑞	jcl_· 亻火廾 ·ying
㕲	dem2· 口木 ·ying
㚞	meem2· 大木木 ·ying
㜲	bfdi· 女亡口月女几丶 ·ying
㢍	xlmm2· 广艹大 ·ying
㦹	ofnp· 日一勹戈 ·ying
㨕	uvr_· 扌乃又皿 ·ying
㬐	ofco· 日一业日 ·ying
㯋	vew_· 匕木頁 ·ying
㲟	lmmv· 艹大毛 ·ying
㴄	krh_· 氵囗八冂 ·ying
㵬	kvva· 氵月乃又皿 ·ying
㶈	kccc2· 氵火火冖虫 ·ying
㹙	qccq· 牜火火冖目 ·ying
㹚	qccd· 牜火火冖口口 ·ying
㿘	accd· 疒火火冖口口 ·ying
䀰	qhg_· 目谷 ·ying
䀴	qfou2· 目一巛工 ·ying
䁐	qlmm· 目艹大 ·ying
䁝	ccwq3· 火火冖目 ·ying
䃷	mfdi· 石亡口月女几丶 ·ying
䋼	ivr_· 糹乃又皿 ·ying
䑉	vfdi· 月亡口月女几丶 ·ying
䑍	voob2· 月貝貝女 ·ying
䒢	lbzj· 艹卩 ·ying
䔔	lxpe2· 艹音儿 ·ying
䕦	lfdi· 艹亡口月女几丶 ·ying
䙬	toob· 衤貝貝女 ·ying
䚆	lmme2· 艹大見 ·ying
䤝	zbz_· 金卩 ·ying
䤰	gez_· 土欠金 ·ying
䨍	tqj2· ⻗井 ·ying
䪯	ccwx2· 火火冖音 ·ying
䭊	qlmm2· 飠艹大 ·ying
䭗	qxpe· 飠音儿 ·ying
䭘	qogy· 飠日小 ·ying
䵥	pxm_· 黑⺈巴 ·ying
㐯	gdxo· 口禾日 ·yong
㑙	jqa_· 亻耳㇗ ·yong
㙲	gzi_· 土亠乡隹 ·yong
㝘	wsy_· 宀言 ·yong
㞲	vdgs2· 山口丨 ·yong
㣧	wiva· 彳幺⺝乚 ·yong
㦷	ktpg· 龴戈 ·yong
㶲	cty2· 火用 ·yong
㷏	xen_· 禾𠂉十火 ·yong
㽫	ziuq2· 亠乡隹田 ·yong
䗤	cxbt· 虫广肀 ·yong
䞻	pkts2· 走龴力 ·yong
䮵	nidl· 馬立里 ·yong
㑸	jcz_· 亻古可 ·you
㒡	jyai· 亻爫缶丿糸 ·you
㓜	ipd5· 幺刀 ·you
㔽	yrd_· ⺊囗口 ·you
㕗	gxik· ⺷㇏厶 ·you
㕛	rry2· 又又 ·you
㕱	doy_· 口尤 ·you
㘥	ryai· 囗爫缶丿糸 ·you
㚭	boy2· 女尤 ·you
㛜	jghb· 亻丨攵女 ·you
㤑	hndk· 忄𠂇口 ·you
㫍	lejh· 方𠂉亻丨攵 ·you
㮋	envt· 木𠂇⺝阝 ·you
㰶	hyde· 夂卜口欠 ·you
㳺	kueh· 氵扌𠂉子 ·you
㶭	cisl2· 火幺力 ·you
㹨	mdy_· 犭由 ·you
㺠	meyy· 犭穴瓜瓜 ·you
㻀	nobi· 王日 ·you
㽕	dnm4· 由马 ·you
㾞	ayy_· 疒酉 ·you
䀁	nvam· 𠂇⺝皿 ·you
䂚	mbbi2· 石乂乂 ·you
䅎	xxv_· 禾禾乃 ·you
䆜	envy2· 穴𠂇⺝ ·you
䌊	iya_· 糹爫缶 ·you
䍃	yaf_· 爫缶 ·you
䑻	ileh· 舟方𠂉子 ·you
䒒	lafi· 艹㇆㇀ ·you
䒴	lnvy· 艹𠂇⺝ ·you
䖻	cboc· 虫 ·you
䚃	yrne· ⺊囗コ見 ·you
䛻	sxnq· 言⺁十目 ·you
䞥	pnvy· 走𠂇⺝ ·you
䢊	huc3· 子辶 ·you
䢟	lhuc· 方攵辶 ·you
䬀	otcs· ⺇丿虫幺力 ·you
䱂	wis_· 魚幺力 ·you
䳑	nvx_· 𠂇⺝鳥 ·you
㑨	jdos2· 亻口矢 ·yu
㒁	jrg_· 亻囗土 ·yu
㒜	jpfh· 亻一ㄅ丨 ·yu
㔱	npj_· 匚臼人 ·yu
㙑	tdvg· 丿口⽱土 ·yu
㚜	mpdf· 大戈口㇀ ·yu
㚥	bfns2· 女一 ·yu
㝢	wtdv· 宀丿口⽱ ·yu
㠘	vpfh2· 山一ㄅ丨 ·yu
㠨	veb_· 山木乂乂木罒寸 ·yu
㡰	xfn_· 广一 ·yu
㣃	bbvb· 弓⺝弓 ·yu
㤜	hnid2· 忄戊丶 ·yu
㤢	hnvy· 忄𠂇⺝ ·yu
㤤	hobi· 忄日 ·yu
㥔	hbv_· 忄⺝ ·yu
㥚	hpj_· 忄臼人 ·yu
㥥	hqvr· 忄田⽱ ·yu
㦛	pfah2· 一ㄅ丨心 ·yu
㦽	nvpo· 𠂇⺝戈口㇀巛 ·yu
㧒	uex_· 扌穴 ·yu
㧕	ubm_· 扌卯 ·yu
㪀	fnh_· 一攵 ·yu
㪌	kthp· 龴攴 ·yu
㫹	omtj· 日斤 ·yu
㬂	oqvr· 日田⽱ ·yu
㬰	ojr_· 曰人 ·yu
㭌	eqn2· 木牛 ·yu
㮋	envt· 木𠂇⺝阝 ·yu
㰲	pdfe2· 戈口㇀欠 ·yu
㲾	wks2· 宀水 ·yu
㳚	kni_· 氵戊丶 ·yu
㳛	kpjr· 氵臼人 ·yu
㵄	kpdm· 氵戈口㇀大 ·yu
㶛	kleh2· 氵方𠂉一ㄅ丨 ·yu
㷉	cmc_· 尸二火寸 ·yu
㷒	cqvr· 火田⽱ ·yu
㹼	mnp_· 犭勹米 ·yu
㺄	mjv_· 犭亼⺝刂 ·yu
㺞	mpfh2· 犭一ㄅ丨 ·yu
㺠	meyy· 犭穴瓜瓜 ·yu
㺮	nma_· 王二ㄅ ·yu
㻀	nobi· 王日 ·yu
㻰	naab· 王丰丰彐 ·yu
㼌	yyg4· 瓜瓜 ·yu
㼶	jvpr· 亼⺝刂瓦 ·yu
㽣	qpdf2· 田戈口㇀ ·yu
㽳	afn_· 疒一 ·yu
䁌	qqv_· 目田⺝ ·yu
䁩	qwv2· 目魚 ·yu
䂊	itw_· 予丿象 ·yu
䂛	miv_· 石予 ·yu
䃋	mjvp3· 石亼⺝刂 ·yu
䄏	fltm· 礻艹丿大 ·yu
䄨	xfns2· 禾一 ·yu
䆷	eitd2· 穴予丿冂八口 ·yu
䈅	rpdf2· ⺮戈口㇀ ·yu
䉛	rtmm· ⺮丿冂米大 ·yu
䋖	ibv_· 糹聿 ·yu
䋭	ibvy· 糹⺝ ·yu
䍂	afns2· 缶一 ·yu
䍞	mbbf· 冂乂乂戈口㇀ ·yu
䎉	znid5· 羽戊丶 ·yu
䏸	vwdk2· 月五口 ·yu
䐳	vwv2· 月魚 ·yu
䓊	lwdk3· 艹五口 ·yu
䔡	lwv2· 艹魚 ·yu
䖇	leae· 艹木缶木冖凵匕彡 ·yu
䗨	cwv3· 虫魚 ·yu
䘘	pais· 行龶糸 ·yu
䘱	thg2· 衣谷 ·yu
䘻	tbvy· 衤⺝ ·yu
䛎	sex_· 言穴 ·yu
䛕	sobi2· 言曰 ·yu
䜡	swh_· 言心夂 ·yu
䜽	zjvp2· 豆亼⺝刂 ·yu
䞕	gctl· 土⻗而 ·yu
䞝	pnid2· 走王丶 ·yu
䢓	wfnu· 宀一辶 ·yu
䢖	buc2· 聿辶 ·yu
䢩	wdhu· 五口攵辶 ·yu
䣁	zte3· 羽阝 ·yu
䤋	hypf· 丷酉戈口㇀ ·yu
䥏	zwaz· 金彳卩 ·yu
䧕	tpdf· 阝戈口㇀ ·yu
䨁	ithu· 予丿攵隹 ·yu
䨒	tzv_· ⻗羽 ·yu
䨞	ttdv· ⻗丿口⽱ ·yu
䩒	tfns2· 革一 ·yu
䫻	otco· ⺇丿虫日 ·yu
䬄	otcf2· ⺇丿虫戊一 ·yu
䬔	otcp5· ⺇丿虫亼⺝刂 ·yu
䬛	otcu2· ⺇丿虫田艹 ·yu
䮇	nbv2· 馬聿 ·yu
䮙	npdf2· 馬戈口㇀ ·yu
䰥	pdfa· 戈口㇀鬼 ·yu
䰻	whp2· 魚攵 ·yu
䱷	zwhp· 虍魚攵 ·yu
䱾	wkob3· 魚女 ·yu
䲣	zwhp2· 虍鱼攵 ·yu
䳑	nvx_· 𠂇⺝鳥 ·yu
䴁	wqvx· 宀田⽱鳥 ·yu
䵥	pxm_· 黑⺈巴 ·yu
䵫	wlzp2· 宀夕⺋黑 ·yu
㘣	rdv_· 囗口⺝ ·yuan
㛪	bmo_· 女大日乚 ·yuan
㟲	vxuy· 山厂白小 ·yuan
㟶	vxuy2· 山厂白小 ·yuan
㤪	gzhx· 歹⺋心 ·yuan
㥐	jdzh· 亼口卩心 ·yuan
㥳	hxu_· 忄厂白小 ·yuan
㭇	ekpe2· 木厶儿 ·yuan
㹉	qxu_· 牜厂白小 ·yuan
㼂	pfai· 一ㄅ丨冖王丶 ·yuan
䅈	hhxh· 丷夫禾 ·yuan
䏍	kvy2· 厶⺝ ·yuan
䖠	coid· 虫几丶 ·yuan
䖤	lzc_· 夕⺋虫 ·yuan
䛄	slz_· 言夕⺋ ·yuan
䛇	sod_· 言几口 ·yuan
䝠	mxuy2· 豸厂白小 ·yuan
䝹	owlz2· 貝宀夕⺋ ·yuan
䟦	ptn_· ⻊丿𠂇又 ·yuan
䣰	ynnk· 酉匚コ ·yuan
䩩	twlz2· 革宀夕⺋ ·yuan
䬇	hdpc· 丷口儿⺇丿虫 ·yuan
䬧	qmpe2· 飠二儿 ·yuan
䬼	qdvy2· 飠口⺝ ·yuan
䭴	nns2· 馬十 ·yuan
䲮	mpx_· 二儿鳥 ·yuan
䲻	zixn· 亠幺鳥 ·yuan
䳁	xnri2· 鳥𠂇又丶 ·yuan
䳒	npxn3· 十戈鳥 ·yuan
䳣	nppx· 十戈刀鳥 ·yuan
㜧	bxhe· 女厂䒑欠 ·yue
㜰	buie· 女白幺幺木 ·yue
㧒	uex_· 扌穴 ·yue
㬦	olur2· 日艹隹又 ·yue
㭾	ecsm2· 木尸屮凵 ·yue
㯞	eidv· 木糹口⺝ ·yue
㰛	elue· 木艹白幺幺木 ·yue
㵸	kjdd2· 氵侖口口口 ·yue
㹊	qwu_· 牜冖隹 ·yue
䋐	inu2· 糹戉 ·yue
䋤	aini· 龶糸勹丶 ·yue
䎀	znu4· 羽戉 ·yue
䎳	qvy3· 耳月 ·yue
䒸	ltam· 艹丿皿 ·yue
䖃	lndd3· 艹𠂇口艹𠂇口艹𠂇口 ·yue
䟑	pjdd· 走侖口口口 ·yue
䟠	pnu2· ⻊戉 ·yue
䠯	pjdd2· ⻊侖口口口 ·yue
䡇	ympe2· 車二儿 ·yue
䢁	yvy2· 月 ·yue
䢲	qquu· 目目隹又辶 ·yue
䤦	zjpg· 金亻戈 ·yue
䥃	zwu_· 金冖隹 ·yue
䬂	otcn· ⺇丿虫戉 ·yue
䶳	jddo2· 侖口口口亠几 ·yue
㒁	jrg_· 亻囗土 ·yun
㚃	gwbh· 士冖㐅凵䒑 ·yun
㚞	meem2· 大木木 ·yun
㚺	bvh_· 女乃子 ·yun
㜏	bdob2· 女口貝 ·yun
㞌	chi2· 尸子 ·yun
㟦	vwyc2· 山冖車 ·yun
㩈	ueb_· 扌穴丿口 ·yun
㷉	cmc_· 尸二火寸 ·yun
䆬	edo_· 穴口貝 ·yun
䇖	rpd4· ⺮ ·yun
䉙	rtb_· ⺮⻗云 ·yun
䚋	doej· 口貝見 ·yun
䞫	pbt_· 走丿口 ·yun
䡝	ywlz· 車宀夕⺋ ·yun
䢵	bte3· 云阝 ·yun
䤞	zoy2· 金尤 ·yun
䦾	tkkp· 丿㠯厶儿 ·yun
䨶	tkqa· ⻗厶目 ·yun
䩵	twyc3· 革冖車 ·yun
䪳	btw_· 丿頁 ·yun
䲰	bxn3· 云鳥 ·yun
䵴	pdm2· 黑黽 ·yun
砸	mnr_· 石匚巾 ·za
扎	uae_· 扌乚 ·za
咋	dw_· 口乍 ·za
杂	ke_· 九木 ·za
咂	dnr_· 口匚巾 ·za
匝	nrj2· 匚巾 ·za
拶	uol_· 扌巛夕 ·za
咱	doi_· 口自 ·za
臜	vqpo· 月⺧⺧儿贝 ·za
臢	vqpo3· 月⺧⺧儿貝 ·za
襍	tue_· 衤隹木 ·za
紮	eais· 木乚糸 ·za
紥	uais· 扌乚糸 ·za
磼	mue_· 石隹木 ·za
迊	fru_· 一巾辶 ·za
沯	kms_· 水石 ·za
沞	kfrj2· 氵一巾 ·za
桚	eol_· 木巛夕 ·za
鉔	znrj3· 金匚巾 ·za
雑	keui· 九木隹 ·za
雜	zjju· 亠人人木隹 ·za
雥	uuui· 隹隹隹 ·za
帀	frj2· 一巾 ·za
韴	xfr_· 音一巾 ·za
囐	dzn_· 口虍鬲犬 ·za
囋	dqpo2· 口⺧⺧儿貝 ·za
噈	dgyo· 口小尤 ·za
喒	dhyo· 口夂卜日 ·za
魳	wfrj2· 魚一巾 ·za
偺	jhyo· 亻夂卜日 ·za
在	n_· 𠂇丨土 ·zai
再	fmg_· 一冂土 ·zai
载	npy_· 十戈 ·zai
灾	wc_· 宀火 ·zai
栽	npem· 十戈木 ·zai
仔	jhi_· 亻子 ·zai
宰	wnx_· 宀辛 ·zai
哉	npd_· 十戈口 ·zai
崽	vqh_· 山田心 ·zai
甾	oqt_· 巛田 ·zai
菑	loqt· 艹巛田 ·zai
縡	iwn_· 糹宀辛 ·zai
睵	qnp_· 目十戈口 ·zai
賳	onp_· 貝十戈口 ·zai
烖	npc_· 十戈火 ·zai
災	och2· 巛火 ·zai
載	npyc2· 十戈車 ·zai
溨	knpe· 氵十戈木 ·zai
渽	knpd· 氵十戈口 ·zai
洅	kfmg· 氵一冂土 ·zai
酨	npyy· 十戈酉 ·zai
扗	ugt_· 扌土 ·zai
儎	jnpy2· 亻十戈車 ·zai
傤	jnp_· 亻十戈 ·zai
咱	doi_· 口自 ·zan
赞	qpq_· ⺧⺧儿贝 ·zan
暂	yto_· 斤日 ·zan
攒	uqp_· 扌⺧⺧儿贝 ·zan
簪	rdd_· ⺮旡曰 ·zan
昝	hyor· 夂卜日 ·zan
錾	ytz_· 斤金 ·zan
瓒	nqp_· 王⺧⺧儿贝 ·zan
糌	phyo· 米夂卜日 ·zan
趱	pqpo· 走⺧⺧儿贝 ·zan
拶	uol_· 扌巛夕 ·zan
襸	tqp_· 衤⺧⺧儿貝 ·zan
簮	rhho· ⺮夫夫曰 ·zan
篸	rkke2· ⺮厶厶厶人彡 ·zan
穳	xqp_· 禾⺧⺧儿貝 ·zan
禶	fqp_· 礻⺧⺧儿貝 ·zan
讃	shho2· 言夫夫貝 ·zan
讚	sqpo· 言⺧⺧儿貝 ·zan
賛	hhob· 夫夫貝 ·zan
贊	qpqo2· ⺧⺧儿貝 ·zan
瓚	nqpo2· 王⺧⺧儿貝 ·zan
瓉	nhho· 王夫夫貝 ·zan
趲	pqpo3· 走⺧⺧儿貝 ·zan
蹔	ytpu· 車斤足 ·zan
灒	kqpo2· 氵⺧⺧儿貝 ·zan
濽	khho2· 氵夫夫貝 ·zan
鄼	hhot· 夫夫貝阝 ·zan
酂	qpqt· ⺧⺧儿贝阝 ·zan
酇	qpqt2· ⺧⺧儿貝阝 ·zan
桚	eol_· 木巛夕 ·zan
暫	ytor2· 車斤日 ·zan
攢	uqpo2· 扌⺧⺧儿貝 ·zan
撍	uddo· 扌旡曰 ·zan
鏨	ytzj2· 車斤金 ·zan
鏩	zytj· 金車斤 ·zan
揝	uhyo· 扌夂卜日 ·zan
鐕	zddo· 金旡曰 ·zan
鐟	zhho· 金夫夫曰 ·zan
寁	wfbs· 宀一龰 ·zan
饡	qqp_· 飠⺧⺧儿貝 ·zan
囋	dqpo2· 口⺧⺧儿貝 ·zan
噆	dddo· 口旡曰 ·zan
喒	dhyo· 口夂卜日 ·zan
兂	du3· 兂 ·zan
儹	jqpo· 亻⺧⺧儿貝 ·zan
儧	jhho2· 亻夫夫貝 ·zan
偺	jhyo· 亻夂卜日 ·zan
藏	lnq_· 艹臣 ·zang
脏	vxg_· 月广土 ·zang
葬	lgv_· 艹歹匕廾 ·zang
臧	nqc_· 臣 ·zang
赃	oxgt· 贝广土 ·zang
奘	agm_· 爿士大 ·zang
驵	nfq_· 马且 ·zang
牂	agy2· 爿羊 ·zang
蔵	lnqc2· 艹戊臣 ·zang
臟	vln_· 月艹臣 ·zang
羘	vgy2· 月羊 ·zang
賍	oxgt2· 貝广土 ·zang
賘	oxgi· 貝广土丶 ·zang
贓	onq_· 貝臣 ·zang
贜	oln_· 貝艹臣 ·zang
欌	elnq· 木艹臣 ·zang
銺	agz_· 爿士金 ·zang
弉	agl_· 爿士廾 ·zang
駔	nfq3· 馬且 ·zang
塟	lgvg· 艹歹匕土 ·zang
驡	tnm2· 龍馬 ·zang
髒	flg_· 骨艹歹匕廾 ·zang
匨	nags· 匚爿士 ·zang
早	on_· 日十 ·zao
造	qdu_· ⺧口辶 ·zao
遭	fyou· 一曲曰辶 ·zao
枣	emw_· 木冂⺀ ·zao
灶	cgt_· 火土 ·zao
凿	cgm_· 业凵 ·zao
糟	pfy_· 米一曲曰 ·zao
藻	lkde· 艹氵口口口木 ·zao
躁	pdd_· ⻊口口口木 ·zao
澡	kdd_· 氵口口口木 ·zao
噪	ddde· 口口口口木 ·zao
皂	urq_· 白七 ·zao
燥	cdd_· 火口口口木 ·zao
蚤	ric_· 又丶虫 ·zao
唣	dur_· 口白七 ·zao
缲	idde· 纟口口口木 ·zao
慥	hqd_· 忄⺧口辶 ·zao
璪	ndde· 王口口口木 ·zao
簉	rqdu· ⺮⺧口辶 ·zao
薻	lkoe2· 艹氵巛田木 ·zao
艁	iqd_· 舟⺧口 ·zao
繰	idde2· 糹口口口木 ·zao
竈	egdm· 穴土黽 ·zao
謲	skk_· 言厶厶厶人彡 ·zao
譟	sdde2· 言口口口木 ·zao
皁	uns2· 白十 ·zao
璅	noqe· 王巛田木 ·zao
趮	pdde2· 走口口口木 ·zao
蹧	pfyo2· ⻊一曲曰 ·zao
煰	cddd· 火口口口 ·zao
醩	yfyo· 酉一曲曰 ·zao
棗	emem2· 木冂木冂 ·zao
梍	eurq· 木白七 ·zao
栆	fdj_· 一口人⺀ ·zao
鑿	cgpz· 业臼殳金 ·zao
喿	ddde2· 口口口木 ·zao
唕	duns· 口白十 ·zao
傮	jfy_· 亻一曲曰 ·zao
泽	kru_· 氵又 ·ze
则	op_· 贝刂 ·ze
责	aob_· 龶贝 ·ze
择	uru_· 扌又 ·ze
啧	dao_· 口龶贝 ·ze
侧	jop_· 亻贝刂 ·ze
昃	oxj_· 日厂人 ·ze
仄	xjr_· 厂人 ·ze
帻	raob· 巾龶贝 ·ze
笮	rwa_· ⺮乍 ·ze
咋	dw_· 口乍 ·ze
箦	raob2· ⺮龶贝 ·ze
赜	qao_· 龶贝 ·ze
迮	wuc2· 乍辶 ·ze
舴	iwa_· 舟乍 ·ze
蘀	luyg· 艹扌罒土 ·ze
萚	luru· 艹扌又 ·ze
蠌	cygg2· 虫罒土 ·ze
耫	aaob· 耒龶貝 ·ze
襗	tygg2· 衤罒土 ·ze
簀	raob4· ⺮龶貝 ·ze
稄	xkh_· 禾厶八夊 ·ze
諎	slor· 言龷日 ·ze
礋	mygg· 石罒土 ·ze
謮	saob2· 言龶貝 ·ze
矠	itlo· 予丿龷日 ·ze
瞔	qaob2· 目龶貝 ·ze
皟	uao_· 白龶貝 ·ze
責	aob2· 龶貝 ·ze
賾	qaob3· 龶貝 ·ze
澤	kyg_· 氵罒土 ·ze
滜	kum_· 氵白大十 ·ze
溭	kqhh2· 氵田八夊 ·ze
泎	kwa2· 氵乍 ·ze
沢	kci_· 氵尸㇏ ·ze
汄	kjr2· 氵人 ·ze
歵	sao_· 止龶貝 ·ze
樍	eaob· 木龶貝 ·ze
昗	oal_· 日六 ·ze
擇	uygg· 扌罒土 ·ze
捑	uoam2· 扌日ㄥ大 ·ze
択	ucid· 扌尸㇏ ·ze
庂	xjr2· 广人 ·ze
幘	raob3· 巾龶貝 ·ze
崱	vopd· 山貝刂 ·ze
飵	qwa2· 飠乍 ·ze
嫧	baob· 女龶貝 ·ze
夨	amd_· ㄥ大 ·ze
嘖	daob2· 口龶貝 ·ze
啫	dqor· 口耂日 ·ze
唶	dlor· 口龷日 ·ze
則	opd3· 貝刂 ·ze
鸅	yggx· 罒土鳥 ·ze
側	jopd2· 亻貝刂 ·ze
齚	lwa2· 齒乍 ·ze
齰	llo_· 齒龷日 ·ze
贼	opn_· 贝戈𠂇 ·zei
蠈	opnc· 貝戈𠂇虫 ·zei
賊	opns2· 貝戈𠂇 ·zei
戝	opg_· 貝戈 ·zei
鰂	wopd2· 魚貝刂 ·zei
鱡	wopn· 魚貝戈𠂇 ·zei
鲗	wop_· 鱼贝刂 ·zei
怎	wh_· 乍心 ·zen
谮	sddo· 讠旡曰 ·zen
譖	sddo2· 言旡曰 ·zen
譛	shh_· 言夫夫曰 ·zen
囎	doho· 口貝丷囗⺌曰 ·zen
增	ghr_· 土丷囗⺌曰 ·zeng
赠	ohr_· 贝丷囗⺌曰 ·zeng
曾	hr_· 丷囗⺌曰 ·zeng
憎	hhr_· 忄丷囗⺌曰 ·zeng
甑	hryr· 丷囗⺌曰瓦 ·zeng
罾	yhr_· 罒丷囗⺌曰 ·zeng
综	iwf_· 纟宀示 ·zeng
锃	zdn_· 钅口王 ·zeng
缯	ihr_· 纟丷囗⺌曰 ·zeng
繒	ihro3· 糹丷囗⺌曰 ·zeng
縡	iwn_· 糹宀辛 ·zeng
綜	iwfs2· 糹宀示 ·zeng
磳	mhr_· 石丷囗⺌曰 ·zeng
譄	shro· 言丷囗⺌曰 ·zeng
矰	ohro2· 矢丷囗⺌曰 ·zeng
贈	ohro3· 貝丷囗⺌曰 ·zeng
璔	nhr_· 王丷囗⺌曰 ·zeng
熷	chro2· 火丷囗⺌曰 ·zeng
鄫	hryt· 丷囗⺌曰阝 ·zeng
橧	ehr_· 木丷囗⺌曰 ·zeng
鋥	zdnw2· 金口王 ·zeng
曽	hqor2· 丷田曰 ·zeng
増	ghqo· 土丷田曰 ·zeng
鬷	nbmh· 鬲㐅凵八夊 ·zeng
扎	uae_· 扌乚 ·zha
炸	cw_· 火乍 ·zha
渣	keo_· 氵木日一 ·zha
闸	asj_· 门甲 ·zha
乍	wa_· 乍 ·zha
轧	yae_· 乚 ·zha
查	eof_· 木日一 ·zha
札	eae_· 木乚 ·zha
榨	eew_· 木穴乍 ·zha
诈	swa_· 讠乍 ·zha
眨	qtr_· 目丿之 ·zha
栅	eic_· 木册 ·zha
柞	ewa2· 木乍 ·zha
铡	zop_· 钅贝刂 ·zha
喳	deo_· 口木日一 ·zha
楂	eeof· 木木日一 ·zha
砟	mwa2· 石乍 ·zha
咤	dwtr· 口宀丿七 ·zha
揸	ueo_· 扌木日一 ·zha
咋	dw_· 口乍 ·zha
蜡	clo_· 虫龷日 ·zha
蚱	cwa_· 虫乍 ·zha
吒	dtr_· 口丿七 ·zha
痄	awa_· 疒乍 ·zha
哳	dutj· 口扌斤 ·zha
喋	dlae· 口廿㇗木 ·zha
馇	qeo_· 饣木日一 ·zha
齄	oqlf· 自田丌木日一 ·zha
拃	uwa2· 扌乍 ·zha
溠	kgu_· 氵⺶工 ·zha
蹅	peof· ⻊木日一 ·zha
鲊	wwa_· 鱼乍 ·zha
蚻	eac_· 木乚虫 ·zha
苲	lwa_· 艹乍 ·zha
耫	aaob· 耒龶貝 ·zha
觰	xtq_· ⺈用耂日 ·zha
紮	eais· 木乚糸 ·zha
紥	uais· 扌乚糸 ·zha
箚	rjdp2· ⺮亼口刂 ·zha
詐	swa2· 言乍 ·zha
箑	rfb_· ⺮一龰 ·zha
譇	smq_· 言大耂日 ·zha
譗	srjd· 言⺮亼口 ·zha
皻	zfr_· 虍且皮 ·zha
皶	eofr· 木日一皮 ·zha
甴	dy2· 甴 ·zha
踷	pqo_· ⻊耂日 ·zha
牐	alp_· 片千臼 ·zha
煠	clae4· 火廿㇗木 ·zha
軋	yae2· 車乚 ·zha
灹	ctrq· 火丿七 ·zha
潳	kcqo· 氵尸耂日 ·zha
醡	yew_· 酉穴乍 ·zha
樝	ezf_· 木虍且 ·zha
柵	eic2· 木冊 ·zha
柤	efq2· 木且 ·zha
鍘	zopd2· 金貝刂 ·zha
摣	uzf_· 扌虍且 ·zha
搾	uew_· 扌穴乍 ·zha
搩	ulve· 扌夕㐄木 ·zha
挓	uwtr· 扌宀丿七 ·zha
抯	ufq_· 扌且 ·zha
閘	asj2· 門甲 ·zha
霅	tsy2· ⻗言 ·zha
鞢	tlae4· 革廿㇗木 ·zha
宱	wjw_· 宀亻乍 ·zha
餷	qeof2· 飠木日一 ·zha
奓	mll_· 大夕夕 ·zha
囃	dzju· 口亠人人木隹 ·zha
喥	dxlr· 口广廿又 ·zha
鮓	wwa2· 魚乍 ·zha
鮺	gwv3· ⺶魚 ·zha
鲝	gwv2· ⺶鱼 ·zha
厏	xwa_· 厂乍 ·zha
劄	rjdp· ⺮亼口刂 ·zha
剳	ljdp· 艹亼口刂 ·zha
冊	ic2· 冊 ·zha
偧	jmll· 亻大夕夕 ·zha
齇	oqlf2· 自田丌虍且 ·zha
齰	llo_· 齒龷日 ·zha
摘	uim_· 扌冂古 ·zhai
寨	wqhe· 宀木 ·zhai
债	jaob· 亻龶贝 ·zhai
翟	zui2· 羽隹 ·zhai
窄	ewa_· 穴乍 ·zhai
斋	vle_· 文而 ·zhai
宅	wtr_· 宀丿七 ·zhai
砦	svms· 匕石 ·zhai
择	uru_· 扌又 ·zhai
侧	jop_· 亻贝刂 ·zhai
祭	hfs_· 示 ·zhai
责	aob_· 龶贝 ·zhai
